ppm,A,Ea
0,152055.4,21994.1
400,193493.7,22268.3
800,238947.7,22514.7
1000,262498.3,22625.9
1200,286645.1,22729.3
1600,336044.9,22916.1
2000,387705,23084.9
2500,454521.3,23273.7
